attack,epsilon,scope,slice,n,asr,asr_ci_lo,asr_ci_hi
PGD_transfer,0.02,source_dataset,wildlife_xenocanto,687,0.002911208151382824,0.0007987049307705621,0.010552088073009174
PGD_transfer,0.02,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD_transfer,0.02,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
PGD_transfer,0.02,drone_type,membo,648,1.0,0.9941065436756417,1.0
PGD_transfer,0.02,drone_type,trident,15,0.2,0.07047420643610414,0.4518593533465045
PGD_transfer,0.05,overall,all,3491,0.7694070466914924,0.7551426898287341,0.7830791282931515
PGD_transfer,0.05,label,drone,2643,0.9947029890276201,0.9911279134379682,0.9968420504616469
PGD_transfer,0.05,label,no_drone,848,0.06721698113207547,0.052240466677212494,0.08609698948834693
PGD_transfer,0.05,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
PGD_transfer,0.05,source_dataset,alemadi_background,67,0.1791044776119403,0.10553487941259442,0.28747713612629794
PGD_transfer,0.05,source_dataset,trident,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
PGD_transfer,0.05,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
PGD_transfer,0.05,source_dataset,wildlife_xenocanto,687,0.06550218340611354,0.049311314535245676,0.08652532298050322
PGD_transfer,0.05,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD_transfer,0.05,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
PGD_transfer,0.05,drone_type,membo,648,1.0,0.9941065436756417,1.0
PGD_transfer,0.05,drone_type,trident,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
